Country Name,Internet_Users_Pct,Fixed_Broadband_per_100,R&D_Expenditure_Pct_GDP,Mobile_Cellular_per_100,High_Technology_Exports_USD,ICT_Graduates_Pct,Problem_Solving_Tech_Level3_Pct,B2C_Index_2020,DAI_Overall,DAI_Business,DAI_People,DAI_Gov
United States,-0.14057545770071242,0.2108162881596441,1.0694503853722688,-0.863662910467097,2.2447902709286813,-0.5163840448224978,-0.17779455946895836,0.43171774054757417,-0.20879097306203437,-0.8024248046297627,-0.26726639996896273,0.22574500770182
Denmark,1.3233016643172653,1.2622878000792122,0.49070709350230374,0.21485069028902834,-0.412011418684975,-0.09301987039182481,0.36606131157679594,0.9425581274944366,0.425243023999195,1.3335023245519333,1.6918651731600802,-1.0394171539220305
Greece,-2.4519603872027815,0.9897223154829022,-0.6776853404351735,-0.9362950125913005,-0.5890147702834813,-1.396868488097157,-1.3274085958258368,-1.2905441354447043,-2.251784545495146,-1.9027777403131438,-0.85056695015947,-2.0351567700289905
Chile,0.19329125433847458,-1.899268189424372,-0.7623282251253221,0.7544079602869529,-0.610904622723254,-1.6775046043161579,-1.504272293726895,-2.8668516151664507,-0.07833211860537348,-0.24975770728520952,-2.270139786517913,1.4253874410583394
Lithuania,-1.2962679224517468,-1.0462946749679558,-1.0376904542283119,1.043505435049208,-0.5776548314049836,-0.5269610819346344,-1.5219586635170008,-0.7942991881248964,0.4575057038769948,-0.4932268799120395,-0.015555140082234641,0.9479191095602179
Israel,-0.21762162201744734,-0.9828246463036079,3.093379873562752,1.9049455219257987,-0.3476339052109672,0.7140502066609706,0.3837476813669018,-0.604558472973203,0.37772511983107326,-0.9236960396937214,-0.16004185380981698,1.119378955709949
Poland,-1.501724360629708,-1.7472183218400785,-0.7044130826730111,0.5700203232180482,-0.20102944552303426,-0.9952501845644536,-0.7349152078572917,-0.852680946633108,-1.0271293259984027,-1.1929888868853247,-0.8151110679505804,-0.505962329652968
Austria,0.21897330911071833,-0.973274027439971,0.7485594083464707,0.00981582924909735,-0.2789448390758264,-0.35528478386650725,-0.5182571779284952,0.11061806875240311,1.4512413799438997,0.6932189554314014,1.3169215309584381,1.080073641721596
Australia,1.092163171367057,0.07966019187312602,-0.7623282251253221,-1.0700633934870918,-0.5145523152094387,0.21364801208134465,0.2997374248638989,0.37333598203936047,-0.7118667040040443,-0.946986665275048,0.2824167834445601,-0.8268687542639095
Estonia,-0.3203498411064296,0.293215471328498,-0.4313791888998466,2.0897854697210536,-0.596948165972882,2.3986372416667012,-0.5226787703760216,0.4025268612934673,1.0288429429917525,0.2184424151056258,0.5500763239185688,1.1360354529766885
Finland,0.06488098047724852,-0.24752737568353184,0.552414554939671,0.35531611650291844,-0.5522317075000908,1.421476177183732,1.2592229859771398,0.782008291596852,0.6523140084830276,1.4076254723170827,0.9080263101425331,-0.23150078823084294
Ireland,0.9894349522780747,-0.6431610450962529,-1.1130156014676178,-0.6589030223808511,0.7497866128266277,1.5115240076360268,-1.0444266791841434,0.782008291596852,-1.480948651005377,-0.09624114090344825,-1.2470949316885773,-1.451992491358825
Norway,1.6058042668119612,1.3828607781654834,-0.6181572442210552,-0.8299318480890695,-0.5516676160169691,-0.1622634212674079,0.25109990794110815,0.6652447745804247,0.6132414816051156,0.7731018295932138,0.6749251144276158,0.15489319052855605
Germany,-0.2946677863341859,1.2328759092544088,0.6918929375701873,0.12767650898186997,3.0292855711999076,-0.21922984802417084,0.5738761566105393,0.782008291596852,1.1240340666388604,0.5612813186671802,0.31073370462613215,1.271194518951238
Sweden,0.5785220759221528,0.6579315217171933,0.921370565751541,0.11753888836253842,-0.27890655877542025,0.6017409225749762,1.444929868773251,0.4025268612934673,1.0088158488466392,1.6941107951449539,1.1902622511673626,0.004852051980215258
New Zealand,0.886706733189096,0.04061164057330201,-0.7623282251253221,-0.5658794331797732,-0.6195147384659302,0.4943160106249929,2.063952811426955,0.5484812575639995,-0.7987814952020491,-1.0131713102451851,0.39182666864033394,-0.9983286004136407
Slovenia,-0.9880832651848036,-0.5751594915656748,-0.170839978632113,0.19078794002653232,-0.5730580065818316,-0.6792092022860782,-0.7923959096751356,-1.348925893952918,-0.6723582645409436,0.4225062210105786,-1.4341869984585705,-0.33359852298529435
Canada,0.3217015281997006,0.8830593979037287,-0.4899339734851642,-2.1102442569507494,-0.1637685563060273,0.15272058603860242,0.7153671149313859,0.4025268612934673,-1.0152258232784486,-0.6998656881328847,-0.7571333717008533,-0.7572135498679318
Netherlands,-0.06352929338397753,1.0816864577839564,-0.037675279626926995,-0.3436708064670986,0.8439790427798954,-0.8861376348964581,0.7861125940918093,1.1322988426461278,1.106254324975261,1.2173475314538014,0.5000426398513644,0.8145595905358193
