indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F600,CHL,2022,3.186800003051758,,
FOSGP.5T8.F600,CMR,2019,6.869259834289551,,
FOSGP.5T8.F600,CMR,2020,5.399059772491455,,
FOSGP.5T8.F600,CMR,2021,7.327750205993652,,
FOSGP.5T8.F600,CMR,2022,6.208590030670166,,
FOSGP.5T8.F600,COL,2018,4.823470115661621,,
FOSGP.5T8.F600,COL,2019,3.396359920501709,,
FOSGP.5T8.F600,COL,2020,3.379470109939575,,
FOSGP.5T8.F600,COL,2021,3.648309946060181,,
FOSGP.5T8.F600,CPV,2018,1.760560035705566,,
FOSGP.5T8.F600,CRI,2018,5.611539840698242,,
FOSGP.5T8.F600,CRI,2019,5.45674991607666,,
FOSGP.5T8.F600,CRI,2020,5.560649871826172,,
FOSGP.5T8.F600,CRI,2021,5.282440185546875,,
FOSGP.5T8.F600,CRI,2022,5.488450050354004,,
FOSGP.5T8.F600,CUB,2019,5.967410087585449,,
FOSGP.5T8.F600,CUB,2020,4.785240173339844,,
FOSGP.5T8.F600,CUB,2021,4.48528003692627,,
FOSGP.5T8.F600,CYP,2018,2.568589925765991,,
FOSGP.5T8.F600,CYP,2019,2.913089990615845,,
FOSGP.5T8.F600,CYP,2020,2.7011399269104,,
FOSGP.5T8.F600,CYP,2021,2.795850038528442,,
FOSGP.5T8.F600,CYP,2022,2.339720010757446,,
FOSGP.5T8.F600,CZE,2018,4.9344801902771,,
FOSGP.5T8.F600,CZE,2019,5.03617000579834,,
FOSGP.5T8.F600,CZE,2020,5.176909923553467,,
FOSGP.5T8.F600,CZE,2021,5.521989822387695,,
FOSGP.5T8.F600,CZE,2022,5.48346996307373,,
FOSGP.5T8.F600,DEU,2018,4.862120151519775,,
FOSGP.5T8.F600,DEU,2019,4.543819904327393,,
FOSGP.5T8.F600,DEU,2020,4.867459774017334,,
FOSGP.5T8.F600,DEU,2021,5.055620193481445,,
FOSGP.5T8.F600,DEU,2022,5.476870059967041,,
FOSGP.5T8.F600,DNK,2018,4.756360054016113,,
FOSGP.5T8.F600,DNK,2019,4.919439792633057,,
FOSGP.5T8.F600,DNK,2020,5.361249923706055,,
FOSGP.5T8.F600,DNK,2021,5.675069808959961,,
FOSGP.5T8.F600,DOM,2020,4.266329765319824,,
FOSGP.5T8.F600,DOM,2021,4.534989833831787,,
FOSGP.5T8.F600,DOM,2022,4.566180229187012,,
FOSGP.5T8.F600,DZA,2018,2.625339984893799,,
FOSGP.5T8.F600,DZA,2019,3.377710103988647,,
FOSGP.5T8.F600,DZA,2020,3.034990072250366,UIS_EST,
FOSGP.5T8.F600,DZA,2021,2.44293999671936,,
FOSGP.5T8.F600,DZA,2022,2.463939905166626,,
FOSGP.5T8.F600,ECU,2018,0.1904399991035461,UIS_EST,
FOSGP.5T8.F600,ECU,2019,0.3450399935245514,,
FOSGP.5T8.F600,ECU,2020,1.56893002986908,,
FOSGP.5T8.F600,ECU,2022,2.430589914321899,,
FOSGP.5T8.F600,EGY,2022,5.306739807128906,,
FOSGP.5T8.F600,ESP,2018,3.922470092773438,,
FOSGP.5T8.F600,ESP,2020,3.968770027160645,,
FOSGP.5T8.F600,ESP,2021,4.798019886016846,,
FOSGP.5T8.F600,ESP,2022,5.23346996307373,,
FOSGP.5T8.F600,EST,2018,6.661520004272461,,
FOSGP.5T8.F600,EST,2019,7.958320140838623,,
FOSGP.5T8.F600,EST,2020,8.40188980102539,,
FOSGP.5T8.F600,EST,2021,10.14041042327881,,
FOSGP.5T8.F600,EST,2022,9.587960243225098,,
FOSGP.5T8.F600,FIN,2018,7.034820079803467,,
FOSGP.5T8.F600,FIN,2019,7.354340076446533,,
FOSGP.5T8.F600,FIN,2020,7.485420227050781,,
FOSGP.5T8.F600,FIN,2021,7.580840110778809,,
FOSGP.5T8.F600,FIN,2022,8.05342960357666,,
FOSGP.5T8.F600,FJI,2019,1.672240018844604,,
FOSGP.5T8.F600,FRA,2018,3.49576997756958,,
FOSGP.5T8.F600,FRA,2019,3.5867600440979,,
FOSGP.5T8.F600,FRA,2020,3.612629890441895,,
FOSGP.5T8.F600,FRA,2021,3.537539958953857,,
FOSGP.5T8.F600,FRA,2022,4.05955982208252,,
FOSGP.5T8.F600,GBR,2019,3.984839916229248,,
FOSGP.5T8.F600,GBR,2020,4.384280204772949,,
FOSGP.5T8.F600,GBR,2021,4.379559993743896,,
FOSGP.5T8.F600,GEO,2018,3.187700033187866,,
FOSGP.5T8.F600,GEO,2019,4.63247013092041,,
FOSGP.5T8.F600,GEO,2020,4.604350090026855,,
FOSGP.5T8.F600,GEO,2021,3.847769975662231,,
FOSGP.5T8.F600,GEO,2022,3.02003002166748,,
FOSGP.5T8.F600,GHA,2018,3.169990062713623,,
FOSGP.5T8.F600,GHA,2019,3.914880037307739,,
FOSGP.5T8.F600,GHA,2020,4.627270221710205,,
FOSGP.5T8.F600,GHA,2021,4.934599876403809,,
FOSGP.5T8.F600,GHA,2022,4.40871000289917,,
FOSGP.5T8.F600,GIB,2020,0,,NA
FOSGP.5T8.F600,GRC,2018,3.091929912567139,,
FOSGP.5T8.F600,GRC,2019,3.382479906082153,,
FOSGP.5T8.F600,GRC,2020,3.515249967575073,,
FOSGP.5T8.F600,GRC,2021,3.541460037231445,,
FOSGP.5T8.F600,GRC,2022,3.627510070800781,,
FOSGP.5T8.F600,GRD,2018,3.415640115737915,,
FOSGP.5T8.F600,HND,2018,3.197669982910156,,
FOSGP.5T8.F600,HND,2019,3.434489965438843,,
FOSGP.5T8.F600,HRV,2018,4.023139953613281,,
FOSGP.5T8.F600,HRV,2019,4.371880054473877,,
FOSGP.5T8.F600,HRV,2020,4.650690078735352,,
FOSGP.5T8.F600,HRV,2022,5.202439785003662,,
FOSGP.5T8.F600,HUN,2018,4.586730003356934,,
FOSGP.5T8.F600,HUN,2019,4.906320095062256,,
FOSGP.5T8.F600,HUN,2020,3.139260053634644,,
FOSGP.5T8.F600,HUN,2021,5.700900077819824,,
FOSGP.5T8.F600,HUN,2022,6.799950122833252,,
FOSGP.5T8.F600,IDN,2018,8.25905990600586,,
FOSGP.5T8.F600,IND,2018,4.915060043334961,,
FOSGP.5T8.F600,IND,2019,5.087180137634277,,
FOSGP.5T8.F600,IND,2020,4.885650157928467,,
FOSGP.5T8.F600,IND,2021,4.122389793395996,,
FOSGP.5T8.F600,IND,2022,4.1634202003479,,
FOSGP.5T8.F600,IRL,2018,7.938789844512939,,
FOSGP.5T8.F600,IRL,2019,7.768610000610352,,
FOSGP.5T8.F600,IRL,2020,8.629590034484863,,
FOSGP.5T8.F600,IRL,2021,8.00333023071289,,
FOSGP.5T8.F600,IRL,2022,8.194840431213379,,
FOSGP.5T8.F600,IRN,2018,7.107329845428467,,
FOSGP.5T8.F600,IRN,2019,6.620339870452881,,
FOSGP.5T8.F600,IRN,2020,6.434400081634521,,
FOSGP.5T8.F600,IRN,2021,4.798940181732178,,
FOSGP.5T8.F600,IRN,2022,4.711329936981201,,
FOSGP.5T8.F600,ISL,2018,5.05810022354126,,
FOSGP.5T8.F600,ISL,2019,5.645709991455078,,
FOSGP.5T8.F600,ISL,2020,5.689080238342285,,
FOSGP.5T8.F600,ISL,2021,4.278890132904053,,
FOSGP.5T8.F600,ISL,2022,4.021299839019775,,
FOSGP.5T8.F600,ISR,2020,6.373700141906738,,
FOSGP.5T8.F600,ISR,2021,6.642859935760498,,
FOSGP.5T8.F600,ISR,2022,6.942490100860596,,
FOSGP.5T8.F600,ITA,2018,1.274549961090088,,
FOSGP.5T8.F600,ITA,2019,1.334030032157898,,
FOSGP.5T8.F600,ITA,2020,1.402649998664856,,
FOSGP.5T8.F600,ITA,2021,1.502900004386902,,
FOSGP.5T8.F600,ITA,2022,1.528329968452454,,
FOSGP.5T8.F600,JOR,2020,8.106559753417969,,
FOSGP.5T8.F600,JOR,2021,0,,NIL
FOSGP.5T8.F600,JOR,2022,4.050459861755371,,
FOSGP.5T8.F600,KAZ,2018,2.005630016326904,,
FOSGP.5T8.F600,KAZ,2019,2.934010028839111,,
FOSGP.5T8.F600,KAZ,2020,3.409749984741211,,
FOSGP.5T8.F600,KGZ,2018,4.139770030975342,,
FOSGP.5T8.F600,KGZ,2019,4.433000087738037,,
FOSGP.5T8.F600,KGZ,2020,3.947269916534424,,
FOSGP.5T8.F600,KGZ,2021,3.661839962005615,,
FOSGP.5T8.F600,KGZ,2022,4.067269802093506,,
FOSGP.5T8.F600,KHM,2019,9.736720085144043,,
FOSGP.5T8.F600,KOR,2019,4.657189846038818,,
FOSGP.5T8.F600,KOR,2020,4.708749771118164,,
FOSGP.5T8.F600,KOR,2021,4.875269889831543,,
FOSGP.5T8.F600,KOR,2022,4.903460025787354,,
FOSGP.5T8.F600,LAO,2018,8.164030075073242,,
FOSGP.5T8.F600,LAO,2019,8.487190246582031,,
FOSGP.5T8.F600,LBN,2021,5.070099830627441,,
FOSGP.5T8.F600,LBN,2022,5.877530097961426,,
FOSGP.5T8.F600,LIE,2018,0,,NIL
FOSGP.5T8.F600,LIE,2019,0,,NIL
FOSGP.5T8.F600,LIE,2020,0,,NIL
FOSGP.5T8.F600,LKA,2018,7.343430042266846,,
FOSGP.5T8.F600,LKA,2019,8.007570266723633,,
FOSGP.5T8.F600,LKA,2020,7.070950031280518,,
FOSGP.5T8.F600,LKA,2021,8.369709968566895,,
FOSGP.5T8.F600,LKA,2022,7.909580230712891,,
FOSGP.5T8.F600,LSO,2018,4.85269021987915,,
FOSGP.5T8.F600,LTU,2018,3.112629890441895,,
FOSGP.5T8.F600,LTU,2019,3.679440021514893,,
FOSGP.5T8.F600,LTU,2020,3.985430002212524,,
FOSGP.5T8.F600,LTU,2021,4.686709880828857,,
FOSGP.5T8.F600,LTU,2022,4.99360990524292,,
FOSGP.5T8.F600,LUX,2018,5.818600177764893,,
FOSGP.5T8.F600,LUX,2019,4.985509872436523,,
FOSGP.5T8.F600,LUX,2020,6.396590232849121,,
FOSGP.5T8.F600,LUX,2021,7.442299842834473,,
FOSGP.5T8.F600,LUX,2022,8.615099906921387,,
FOSGP.5T8.F600,LVA,2018,4.693089962005615,,
FOSGP.5T8.F600,LVA,2019,4.377689838409424,,
FOSGP.5T8.F600,LVA,2020,4.619619846343994,,
FOSGP.5T8.F600,LVA,2021,4.963620185852051,,
FOSGP.5T8.F600,LVA,2022,5.431379795074463,,
FOSGP.5T8.F600,MAC,2018,3.518800020217896,,
FOSGP.5T8.F600,MAC,2019,3.450779914855957,,
FOSGP.5T8.F600,MAC,2020,3.385669946670532,,
FOSGP.5T8.F600,MAC,2021,3.541419982910156,,
FOSGP.5T8.F600,MAC,2022,4.593709945678711,,
FOSGP.5T8.F600,MAR,2019,3.87719988822937,,
FOSGP.5T8.F600,MAR,2020,4.94163990020752,,
FOSGP.5T8.F600,MAR,2021,7.829229831695557,,
FOSGP.5T8.F600,MAR,2022,7.172029972076416,,
FOSGP.5T8.F600,MCO,2018,0,,NIL
FOSGP.5T8.F600,MCO,2019,0,,NIL
FOSGP.5T8.F600,MCO,2020,0,,NIL
FOSGP.5T8.F600,MCO,2021,0,,NIL
FOSGP.5T8.F600,MCO,2022,0,,NIL
FOSGP.5T8.F600,MDA,2018,4.523449897766113,,
FOSGP.5T8.F600,MDA,2019,4.841579914093018,,
FOSGP.5T8.F600,MDA,2020,5.650750160217285,,
FOSGP.5T8.F600,MDA,2021,6.323379993438721,,
FOSGP.5T8.F600,MDA,2022,6.264540195465088,,
FOSGP.5T8.F600,MDG,2018,9.60925006866455,,
FOSGP.5T8.F600,MDG,2019,7.955180168151855,,
FOSGP.5T8.F600,MDG,2020,7.089789867401123,,
FOSGP.5T8.F600,MDG,2022,7.933559894561768,,
FOSGP.5T8.F600,MDV,2019,3.181159973144531,,
FOSGP.5T8.F600,MEX,2019,4.880420207977295,,
FOSGP.5T8.F600,MEX,2020,4.605649948120117,,
FOSGP.5T8.F600,MEX,2021,4.575139999389648,,
FOSGP.5T8.F600,MEX,2022,4.237679958343506,,
FOSGP.5T8.F600,MHL,2019,0,,NIL
FOSGP.5T8.F600,MHL,2022,0,,NIL
FOSGP.5T8.F600,MKD,2018,6.31997013092041,,
FOSGP.5T8.F600,MKD,2020,5.883019924163818,,
FOSGP.5T8.F600,MKD,2021,6.424970149993896,,
FOSGP.5T8.F600,MKD,2022,7.874100208282471,,
FOSGP.5T8.F600,MLT,2019,6.041910171508789,,
FOSGP.5T8.F600,MLT,2020,6.481579780578613,,
FOSGP.5T8.F600,MLT,2021,6.575300216674805,,
FOSGP.5T8.F600,MLT,2022,5.756790161132813,,
FOSGP.5T8.F600,MMR,2018,2.15034008026123,,
FOSGP.5T8.F600,MNE,2019,4.536409854888916,,
FOSGP.5T8.F600,MNG,2018,3.257440090179443,,
FOSGP.5T8.F600,MNG,2019,2.482850074768066,,
FOSGP.5T8.F600,MNG,2022,2.84650993347168,,
FOSGP.5T8.F600,MOZ,2018,1.33856999874115,,
FOSGP.5T8.F600,MRT,2020,5.138979911804199,,
FOSGP.5T8.F600,MSR,2019,0,,NA
FOSGP.5T8.F600,MUS,2020,8.686369895935059,,
FOSGP.5T8.F600,MUS,2021,12.64367961883545,,
FOSGP.5T8.F600,MYS,2018,7.13470983505249,,
FOSGP.5T8.F600,MYS,2019,6.887129783630371,,
FOSGP.5T8.F600,MYS,2022,7.652299880981445,,
FOSGP.5T8.F600,NAM,2018,4.726160049438477,,
FOSGP.5T8.F600,NAM,2019,3.62595009803772,,
FOSGP.5T8.F600,NAM,2020,3.847959995269775,,
FOSGP.5T8.F600,NAM,2022,3.96806001663208,,
FOSGP.5T8.F600,NER,2018,2.760960102081299,,
FOSGP.5T8.F600,NER,2019,3.23432993888855,,
FOSGP.5T8.F600,NLD,2018,2.82505989074707,,
FOSGP.5T8.F600,NLD,2019,3.129479885101318,,
FOSGP.5T8.F600,NLD,2020,3.417210102081299,,
FOSGP.5T8.F600,NLD,2021,3.732929944992065,,
FOSGP.5T8.F600,NLD,2022,4.42956018447876,,
FOSGP.5T8.F600,NOR,2018,3.850749969482422,,
FOSGP.5T8.F600,NOR,2019,4.138000011444092,,
FOSGP.5T8.F600,NOR,2020,4.634530067443848,,
FOSGP.5T8.F600,NOR,2021,5.853330135345459,,
FOSGP.5T8.F600,NOR,2022,5.566329956054688,,
FOSGP.5T8.F600,NZL,2018,6.554299831390381,,
FOSGP.5T8.F600,NZL,2019,6.753900051116943,,
FOSGP.5T8.F600,NZL,2020,7.010139942169189,,
FOSGP.5T8.F600,NZL,2021,6.390500068664551,,
FOSGP.5T8.F600,NZL,2022,6.597420215606689,,
FOSGP.5T8.F600,OMN,2018,14.09813976287842,,
FOSGP.5T8.F600,OMN,2019,12.35214996337891,,
FOSGP.5T8.F600,OMN,2020,10.67673015594482,,
FOSGP.5T8.F600,OMN,2021,11.70781993865967,,
FOSGP.5T8.F600,PAN,2019,4.666079998016357,,
FOSGP.5T8.F600,PAN,2020,3.918459892272949,,
FOSGP.5T8.F600,PAN,2021,5.685510158538818,,
FOSGP.5T8.F600,PAN,2022,3.514529943466187,,
FOSGP.5T8.F600,PHL,2018,10.47109031677246,,
FOSGP.5T8.F600,PHL,2019,10.37827014923096,,
FOSGP.5T8.F600,PHL,2020,10.22387981414795,,
