"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Azerbaijan","AZE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0120104","","","0.0254035","0.0454004","0.165377","0.670943","1.10542","5.19627","10.5213","14.6072","18.0146","19.7076","19.4759","18.2771","18.1092","18.8342","19.2178","19.5986","20.0857","20.3656","20.8825","",
"Burundi","BDI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00188111","0.00178818","0.00375409","0.00511423","0.00697049","0.0146944","0.0157411","0.0250824","0.0288715","0.0340148","0.0331803","0.0317494","0.0335261","0.0304886","0.0300651","0.0203441","",
"Belgium","BEL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.107218523","0.224956036","1.40674","4.47177","7.89142","11.9786","15.5446","19.187","23.2412","25.6894","27.8486","29.1619","30.8426","32.1032","33.2388","34.3085","35.782","36.5492","37.6813","38.4911","39.4007","39.9518","41.024","43.0218","43.5657","43.7026","",
"Benin","BEN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0002736","0.000265384","0.000992757","0.00232609","0.0172318","0.00792944","0.0912828","0.200443","0.275928","0.371868","0.401639","0.396654","0.411777","0.644882","0.190616","0.23767","0.218309","0.199855","0.229385","0.154167","0.153072","0.170838","",
"Burkina Faso","BFA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000394294","0.00110835","0.0011407","0.00275622","0.0119315","0.0454364","0.0672823","0.0760468","0.0847217","0.0844021","0.0834368","0.0732506","0.0296663","0.049815","0.0640501","0.062133","0.0676084","0.0573181","0.0650831","0.074066","0.0669065","","",
"Bangladesh","BGD","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0295359","0.0334506","0.20991","0.272381","0.305031","0.387219","0.974448","1.95814","3.06992","4.09944","4.50131","4.92462","4.90289","6.04506","6.64247","7.1702","7.51447","",
"Bulgaria","BGR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0858257","2.15033","5.03478","8.29162","11.1942","13.3284","15.1221","17.0297","18.2007","19.5682","20.5011","22.4944","23.8177","25.3925","27.1034","28.8837","30.5043","32.7688","34.9668","36.0803","",
"Bahrain","BHR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.168011","0.662061","1.20021","1.71624","2.29808","3.8837","6.45476","8.35342","11.7871","12.7684","24.158","24.2856","23.8669","21.9044","18.4749","16.2552","13.1015","8.43442","9.49013","10.1824","16.5058","18.0026","17.0462","",
"Bahamas, The","BHS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26252","2.27373","3.25996","3.768","3.89132","4.7624","5.80188","7.12052","8.70676","6.72204","4.16863","20.7554","19.129","20.1853","21.0247","21.9371","22.2462","20.6785","20.8513","20.9668","20.7423","21.1356","23.8163","",
"Bosnia and Herzegovina","BIH","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000649074","0.00162701","0.00508596","0.0358979","0.160276","0.334481","0.984428","2.11019","4.77411","7.52909","10.2559","11.4984","12.7897","14.2931","15.2155","18.0469","19.0748","20.4261","21.1505","22.295","23.3508","24.5891","27.319","28.5064","",
"Belarus","BLR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000202563","0.0012547","0.00770409","0.0161774","0.118848","1.77563","5.01587","11.4889","17.5606","22.1485","26.755","29.4348","28.3377","30.6041","32.293","33.3125","33.7712","34.0724","34.8152","35.0098","34.0672","35.0932","",
"Belize","BLZ","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.356358","1.04053","1.7953","2.51669","2.52617","2.6439","2.66783","2.78381","2.96305","2.98223","2.8979","2.8373","4.87718","5.03804","5.09268","6.48509","7.67179","9.21159","9.10595","9.75386","","",
"Bermuda","BMU","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4797","37.6277","45.7054","53.6414","62.9277","62.9266","","","63.0761","54.6695","47.2709","35.9296","35.874","","35.8775","35.7243","35.5773","35.5805","","",
"Bolivia","BOL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0374142","0.0634205","0.0947711","0.138589","0.184726","0.350786","0.805148","0.959778","0.942298","0.710624","1.10983","1.44251","1.59263","1.64281","2.57235","3.34958","4.38026","6.39917","7.88672","9.44574","10.9975","","",
"Brazil","BRA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000584659","0.004034901","0.0574652","0.187747","0.409516","0.534956","1.72846","1.75095","2.55394","4.03572","5.26189","6.10683","7.27968","9.13182","9.71151","10.7622","11.9791","12.6354","13.2177","14.1218","15.1538","15.8622","17.4181","19.8363","21.527","22.9115","",
"Barbados","BRB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.279","11.085","11.8873","14.3703","17.3738","18.0467","20.9048","20.4147","22.6821","24.1513","24.4172","27.9255","28.0544","31.0757","31.8877","31.8263","37.9802","45.4387","36.3513","37.4843","","",
"Brunei Darussalam","BRN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56878","0.810646","1.10721","1.77439","2.26404","2.45816","3.13234","4.47097","5.20299","5.53077","5.80512","4.89426","6.70157","7.26071","8.15349","8.44786","9.49045","11.2953","12.2425","15.8868","17.581","19.805","20.212","",
"Bhutan","BTN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.300138","0.486752","1.2364","1.86544","2.33744","2.8239","3.40713","3.76361","2.20481","2.2148","1.42177","1.14719","0.414153","0.364566","0.631824","1.31882","",
"Botswana","BWA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0869623","0.0960248","0.185224","0.456417","0.502343","0.589146","0.922338","1.05453","1.00856","1.53266","1.67228","2.64264","1.43086","1.74169","2.10301","3.58604","5.54838","4.53192","3.41216","",
"Central African Republic","CAF","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0177436","0.0131212","","","0.0401355","0.0156142","0.0129133","0.0124624","0.0100916","","0.00976115","0.0160846","","",
"Canada","CAN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.464424857","1.914487665","4.56733","9.08579","11.1461","14.1756","16.8551","21.5905","24.555","27.4244","29.4247","30.4201","31.6318","32.6506","33.4739","34.2683","35.2694","36.4699","36.8233","37.8277","38.7334","40.0768","40.795","41.6931","42.1792","43.1752","",
"Central Europe and the Baltics","CEB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0934132077468678","0.421506815108333","0.956802619984973","2.02935688749357","3.5802847917148","7.77191175568171","11.4641442822208","13.4400658057388","15.8824463155985","17.1317176354633","19.217395226675","19.9003669117725","20.9935979042053","21.7514415302372","22.4291409822815","23.2181457096423","24.2605433782126","25.2903305687623","26.3462865575171","27.6199726811752","28.9659286694394","29.5807948378636","","",
"Switzerland","CHE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7853","1.93734","6.25409","10.689","16.6219","22.4604","27.4143","31.5503","33.4518","35.4268","37.2299","38.8955","40.16","42.4918","43.1732","44.6716","45.0861","46.3318","45.605","46.9124","46.4814","47.9433","46.6748","48.7898","",
"Channel Islands","CHI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0495368","0.425425","1.18839","2.19806","2.95838","4.33405","6.12777","7.81156","8.47544","9.72782","10.4145","11.591","12.3655","12.9766","13.9369","15.0681","15.9005","16.501","17.2067","17.865","19.4306","22.014","22.777","22.9954","",
"China","CHN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00178484","0.0262981","0.256319","0.866656","1.91534","2.85109","3.85819","5.0093","6.21365","7.74497","9.34748","11.5043","12.7916","13.6989","14.4445","19.8438","22.9761","27.9101","28.7089","31.5611","33.907","37.5612","41.3736","44.7289","",
"Cote d'Ivoire","CIV","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00215942","0.00421536","0.00617387","0.0486694","0.0475499","0.0464804","0.0454588","","","0.196731","0.235094","0.517205","0.434546","0.524752","0.534257","0.640536","0.768712","0.903911","1.13038","1.25179","1.36337","",
"Cameroon","CMR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00118304","0.0023988","0.00354573","0.00463011","0.0047086","0.0302724","0.05295","0.0665368","0.0789632","0.0762968","0.089824","1.55529","1.58467","1.59561","1.57189","2.75682","2.23385","2.18279","","",
"Congo, Dem. Rep.","COD","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.000593751","0.000637729","0.00123403","0.00119109","0.00114832","0.00513062","0.0128029","0.032295","0.0312661","0.0322275","","",
"Congo, Rep.","COG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00291973","0.0056025","0.0284399","0.0293643","0.00901773","0.0100485","","","","","","","0.2569","0.435883","1.26798","",
"Colombia","COL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0226964","0.0348281","0.0865177","0.157401","0.305978","0.756446","1.47121","2.7919","4.04967","4.77684","5.90262","7.39764","8.61552","9.83199","10.799","11.7645","12.4648","13.1537","13.6229","13.9253","15.3363","16.4768","17.0075","17.037","",
"Comoros","COM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000172205","0.000674904","","0.0132917","0.0174795","0.0102812","0.0502416","0.0598752","0.18089","0.18673","0.222487","0.220179","0.220293","0.217268","0.198421","0.162476","0.1481","0.150457","0.219375","0.387941","",
"Cabo Verde","CPV","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0590358","0.19315","0.369655","0.772486","1.47201","2.16778","3.15251","4.17091","3.87788","4.1392","3.72341","3.23345","3.03207","2.92322","3.04958","3.93928","4.82611","5.90962","6.56769","7.23009","",
"Costa Rica","CRI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.220551","0.359478","0.665011","1.05401","1.92827","2.16883","2.47607","4.05917","8.69766","9.10623","9.61836","10.2813","10.8312","11.5951","13.131","15.1438","16.8377","18.0963","19.7191","20.9243","21.7576","22.5231","",
"Caribbean small states","CSS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07501748266865","3.01186090494124","4.86673926890486","4.47348411247951","5.33870402580495","6.7556416702369","6.76877712168044","7.2163264970311","10.4455219782488","10.9891294531804","12.0069657557803","13.122045644732","14.3725860244286","15.194029672585","17.4299988451081","16.0168044444927","18.4915639241509","18.3844757261607","","","",
"Cuba","CUB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0172407","0.0198906","0.0255252","0.032804","0.0391185","0.0443504","0.0474413","0.0690515","0.0723455","0.128071","0.298155","0.880351","1.63112","2.07272","2.67323","2.892","2.97118","",
"Curacao","CUW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0547","22.1157","22.6842","23.4283","24.0079","25.4574","29.2839","28.5467","28.1187","31.5937","32.5705","32.9116","","",
"Cayman Islands","CYM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2711","34.7695","34.8472","33.8381","33.8228","34.6688","39.011","44.4226","38.8827","48.3954","","75.7497","46.5902","45.6439","56.3604","","",
"Cyprus","CYP","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.354359","0.823735","1.38788","2.32879","4.28172","8.32353","12.5725","18.4811","21.4899","23.1549","24.6113","25.4741","26.7127","28.7616","30.725","32.5787","34.215","35.8108","36.7753","37.0625","37.6671","37.8998","38.7322","",
"Czechia","CZE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0244217","0.0605946","0.149422","0.338475","2.29983","6.8974","10.7962","14.4785","16.9545","19.5386","21.6091","23.9064","25.2869","27.1727","28.4754","27.998","29.1491","29.8453","30.5513","35.4302","36.4491","37.4985","37.7137","37.9249","",
"Germany","DEU","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.323972","2.56304","3.90528","5.44381","8.52694","13.1471","18.3315","24.2949","27.9989","30.8451","32.3663","33.7099","34.5501","35.3423","36.3409","37.4127","38.4991","39.9888","40.9651","42.1156","43.3049","44.0643","44.6186","45.3805","",
"Djibouti","DJI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000535247","0.000648245","0.000754172","","","0.00500496","0.0177619","0.124867","0.27455","0.579796","0.866218","1.19149","1.54198","1.79778","2.00475","2.36839","2.33941","2.3121","2.37974","2.24266","2.26685","1.39113","1.41246","1.47206","",
"Dominica","DMA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11677","0.256268","3.27351","3.86832","4.7386","4.94661","6.24945","7.26248","10.1664","10.6006","12.0696","12.0299","12.2978","15.3009","15.3255","21.5296","22.2495","22.5166","16.8891","22.3998","27.0611","20.9562","20.8601","","",
"Denmark","DNK","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25476","4.44127","8.39473","13.325","18.8283","24.7964","31.9143","34.8531","36.5083","36.6222","38.076","38.4725","38.9767","40.4678","41.4926","42.3133","42.9699","43.5698","43.7691","43.623","44.4186","44.9598","44.8237","44.4825","",
