"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.186920002102852","0.226009994745255","0.214000001549721","0.1910600066185","0.279870003461838","0.252550005912781","0.321090012788773","0.256590008735657","0.257609993219376","0.240569993853569","0.211070001125336","0.224380001425743","0.29093000292778","0.241390004754066","0.270139992237091","0.238529995083809","0.222159996628761","0.241510003805161","0.250019997358322","0.233050003647804","0.227880001068115","0.188759997487068","0.178540006279945","0.209199994802475","0.205569997429848","0.209549993276596","0.181150004267693","",
"American Samoa","ASM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.187869995832443","0.325280010700226","0.366919994354248","0.395520001649857","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.66217994689941","","1.51350998878479","","1.57197999954224","","1.74653995037079","","1.84801995754242","","2.17862010002136","","2.39897990226746","","2.37009000778198","2.23445010185242","","2.17708992958069","","1.91902005672455","","1.87918996810913","","1.82570004463196","","1.8550900220871","","","",
"Austria","AUT","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58077001571655","1.65490996837616","1.73154997825623","1.845370054245","1.88601994514465","1.99210000038147","2.06597995758057","2.17456007003784","2.16612005233765","2.37323999404907","2.35923004150391","2.41843008995056","2.56944990158081","2.59674000740051","2.72609996795654","2.66867995262146","2.91472005844116","2.95492005348206","3.08429002761841","3.04969000816345","3.11654996871948","3.05656003952026","3.09182000160217","3.13264989852905","3.20278000831604","3.26360988616943","3.20047998428345","","",
"Azerbaijan","AZE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.235330000519753","0.369500011205673","0.421249985694885","0.392890006303787","0.335999995470047","0.340009987354279","0.301550000905991","0.324959993362427","0.29831001162529","0.219940006732941","0.171650007367134","0.170059993863106","0.165539994835854","0.249760001897812","0.218480005860329","0.210840001702309","0.214269995689392","0.209690004587173","0.209779992699623","0.222320005297661","0.206369996070862","0.184679999947548","0.184159994125366","0.200130000710487","0.223900005221367","0.208360001444817","0.151299998164177","0.181779995560646","",
"Burundi","BDI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.200680002570152","0.154170006513596","0.140959993004799","0.137189999222755","","0.107019998133183","","","","","","0.213119998574257","","","","","","",
"Belgium","BEL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.74299001693726","1.80971002578735","1.838250041008","1.90565001964569","1.93620002269745","2.03278994560242","1.90324997901917","1.8411899805069","1.82050001621246","1.79060995578766","1.8226900100708","1.84999001026154","1.93684005737305","1.99860000610352","2.06188011169434","2.17332005500793","2.28114008903503","2.33072996139526","2.37001991271973","2.42816996574402","2.52338004112244","2.66666007041931","2.86017990112305","3.15659999847412","3.39175009727478","3.39239001274109","3.40544009208679","","",
"Benin","BEN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.158340007066727","0.18104000389576","","","","0.168160006403923","0.301109999418259","0.241119995713234","0.215139999985695","0.151659995317459","","0.098360002040863","0.165680006146431","0.177870005369186","","","","","0.197190001606941","","","0.613610029220581","","0.174349993467331","0.251159995794296","0.251260012388229","","","",
"Bangladesh","BGD","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.418260008096695","0.465479999780655","0.482230007648468","0.536880016326904","0.495169997215271","0.447089999914169","0.464729994535446","0.472220003604889","0.470860004425049","0.442690014839172","0.44216001033783","0.430029988288879","0.447310000658035","0.493380010128021","0.562990009784698","0.529500007629395","0.600390017032623","0.634239971637726","0.790069997310638","0.949469983577728","0.770089983940125","0.740369975566864","0.754130005836487","0.832740008831024","0.849669992923737","0.772780001163483","0.754209995269775","","",
"Bahrain","BHR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.101159997284412","","","","","","","","","","",
"Bahamas, The","BHS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0182600002735853","0.0159000009298325","0.0269699990749359","0.0196899995207787","0.0252100005745888","0.0184199996292591","0.021059999242425","","","0.265329986810684","0.321319997310638","0.257250010967255","0.21603000164032","0.213369995355606","0.197799995541573","0.191990002989769","0.190009996294975","0.203250005841255","0.190349996089935","0.187429994344711","0.192279994487762","",
"Belarus","BLR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.998520016670227","0.730000019073486","0.705780029296875","0.845229983329773","0.722100019454956","0.708760023117065","0.620899975299835","0.611469984054565","0.627590000629425","0.678520023822784","0.660650014877319","0.962029993534088","0.741469979286194","0.621670007705688","0.669130027294159","0.677600026130676","0.646030008792877","0.651910006999969","0.505479991436005","0.499989986419678","0.500630021095276","0.584110021591187","0.604430019855499","0.577329993247986","0.539009988307953","0.459809988737106","0.47477000951767","0.578429996967316","",
"Belize","BLZ","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0588500015437603","","","","","","","","","","0.160260006785393","0.1684799939394","0.182349994778633","0.180500000715256","0.261949986219406","0.233549997210503","0.196299999952316","0.190830007195473","0.195069998502731","","","0.22851000726223","0.264510005712509","0.22545999288559","","","","",
"Bolivia","BOL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.325439989566803","0.315770000219345","0.294950008392334","0.298359990119934","0.287440001964569","0.293579995632172","0.276630014181137","","","","","","","0.157000005245209","","","","","","","","","","","","","","","",
"Brazil","BRA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04751002788544","1.06198000907898","1.0096800327301","0.999390006065369","0.963429987430573","1.00246000289917","0.988070011138916","1.08138000965118","1.12904000282288","1.11865997314453","1.15991997718811","1.13966000080109","1.12683999538422","1.19567000865936","1.26970994472504","1.37092995643616","1.28637003898621","1.11749994754791","1.16769003868103","1.21096003055573","1.14525997638702","","","","",
"Barbados","BRB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0159200001507998","0.0184199996292591","0.0370099991559982","","","","","","","","","","","","","","0.277640014886856","","","","","","",
"Bhutan","BTN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.532859981060028","","","","","","","0.26758998632431","0.560999989509583","","","","","","","","","","","",
"Central African Republic","CAF","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60681998729706","1.61386001110077","1.71051001548767","1.74985003471375","1.85847997665405","2.02116990089417","1.97170996665955","1.96781003475189","1.99733996391296","1.97126996517181","1.94304001331329","1.90357995033264","1.85578000545502","1.9174200296402","1.82503998279572","1.78714001178741","1.77304005622864","1.70624005794525","1.7148300409317","1.69359004497528","1.72903001308441","1.68701994419098","1.73720002174377","1.75577998161316","1.93413996696472","1.86431002616882","1.71166002750397","1.70132994651794","",
"Central Europe and the Baltics","CEB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.724150395773045","0.75000425618618","0.732533782736859","0.737027179082049","0.745465406546497","0.749527224054594","0.738582685500012","0.73087932247079","0.73405765629793","0.73505355803555","0.751287724430768","0.755539847537638","0.780865031629565","0.824604287879731","0.872189993466828","0.953465112588394","1.05268143305774","1.06559248790277","1.09106250095637","1.14112866976552","1.0264264689268","1.08627074721715","1.19246496138479","1.24699512909957","1.30695877605301","1.32975374003975","1.31222382328176","","",
"Switzerland","CHE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37649011611938","","","","2.26385998725891","","","","2.60818004608154","","","","2.65296006202698","","","","2.8745698928833","","","3.07832002639771","","3.07698011398315","","3.19679999351501","","3.30644989013672","","","",
"Channel Islands","CHI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.311430007219315","0.374920010566711","0.354030013084412","0.331649988889694","0.352880001068115","0.362129986286163","0.390300005674362","0.376679986715317","0.382959991693497","0.371030002832413","0.356790006160736","0.369159996509552","0.342429995536804","0.335249990224838","0.360410004854202","","","",
"China","CHN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.563239991664886","0.638729989528656","0.646889984607697","0.749629974365234","0.893159985542297","0.940330028533936","1.05786001682281","1.12037003040314","1.21498000621796","1.30791997909546","1.36854004859924","1.37369000911713","1.44591999053955","1.66480004787445","1.7137199640274","1.78033995628357","1.91214001178741","1.99785995483398","2.02242994308472","2.05700993537903","2.10033011436462","2.11602997779846","2.14057993888855","2.2446300983429","2.40666007995605","2.4326000213623","2.55518007278442","","",
"Cote d'Ivoire","CIV","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.069750003516674","","","","","","","","",
"Cameroon","CMR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.267769992351532","0.0579899996519089","0.0604400001466274","0.136089995503426","0.0825299993157387","0.0782200023531914","","","","","","0.406379997730255","","","","","","","","","",
"Congo, Rep.","COG","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.383390009403229","","",
"Colombia","COL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.131060004234314","0.13289999961853","0.155589997768402","0.173979997634888","0.169640004634857","0.165570005774498","0.164269998669624","0.183070003986359","0.195409998297691","0.193509995937347","0.193580001592636","0.198420003056526","0.221159994602203","0.257609993219376","0.303169995546341","0.365420013666153","0.270509988069534","0.261090010404587","0.312330007553101","0.322010010480881","0.289400011301041","","","","",
"Comoros","COM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0662200003862381","","","","","","","","","","","","","",
"Costa Rica","CRI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.302210003137589","0.29569000005722","0.265260010957718","0.367590010166168","0.411350011825562","","","0.361900001764297","0.372880011796951","","0.426930010318756","0.356550008058548","0.385930001735687","0.517180025577545","0.479900002479553","0.462350010871887","0.547129988670349","0.542530000209808","0.556270003318787","0.436650007963181","0.443349987268448","0.425870001316071","0.3714399933815","","0.330020010471344","0.273849993944168","0.33788999915123","","",
"Caribbean small states","CSS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.347359985113144","0.401719987392426","0.501240015029907","0.458319991827011","0.478650003671646","0.565299987792969","0.564450025558472","0.582430005073547","0.602310001850128","0.549199998378754","0.441390007734299","0.436150014400482","0.500609993934631","0.614849984645844","0.6076700091362","0.271919995546341","0.407160013914108","0.474669992923737","0.415960013866425","0.428539991378784","0.34222999215126","0.430660009384155","0.536909997463226","0.553080022335052","0.518379986286163","0.322820007801056","0.360119998455048","","",
"Curacao","CUW","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.203309997916222","0.218060001730919","0.226899996399879","0.236939996480942","0.279670000076294","0.318340003490448","0.335640013217926","0.367269992828369","0.383459985256195","0.400070011615753","0.385939985513687","0.444370001554489","0.442919999361038","0.452630013227463","0.437649995088577","0.484849989414215","0.512049973011017","0.47529000043869","0.519699990749359","0.542590022087097","0.614049971103668","0.709450006484985","0.83653998374939","0.800300002098083","0.745270013809204","","",
"Czechia","CZE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.889119982719421","0.988189995288849","1.06022000312805","1.04956996440887","1.10996997356415","1.09870994091034","1.09818994998932","1.14209997653961","1.13935005664825","1.16100001335144","1.22541999816895","1.29571998119354","1.23357999324799","1.28656005859375","1.32669997215271","1.54477000236511","1.76967000961304","1.87924003601074","1.95833003520966","1.91689002513885","1.67002999782562","1.76855003833771","1.89906001091003","1.92734003067017","1.98599004745483","1.99600994586945","1.96420001983643","","",
"Germany","DEU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1446099281311","2.18831992149353","2.21613001823425","2.34779000282288","2.40982007980347","2.40437006950378","2.4362199306488","2.47461009025574","2.43518996238708","2.44193005561829","2.47232007980347","2.4604799747467","2.61512994766235","2.74266004562378","2.73024010658264","2.80555009841919","2.88165998458862","2.8359899520874","2.87784004211426","2.9337899684906","2.94039011001587","3.04710006713867","3.11011004447937","3.16701006889343","3.13136005401611","3.12881994247437","3.13235998153687","","",
"Djibouti","DJI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80666995048523","1.88914000988007","2.00619006156921","2.12764000892639","2.18619990348816","2.32466006278992","2.44145011901855","2.51084995269775","2.41915988922119","2.3933699131012","2.40300011634827","2.51540994644165","2.77345991134644","3.05514001846313","2.91706991195679","2.94464993476868","2.98125004768372","2.97047996520996","2.9140899181366","3.05497002601624","3.09282994270325","2.93124008178711","2.96602988243103","2.89685010910034","2.97257995605469","2.76142001152039","2.89051008224487","","",
"Dominican Republic","DOM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.212190002202988","0.338070005178452","0.18121999502182","0.151859998703003","0.0636700019240379","","","","","","","","","","","","0.478650003671646","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46194143823194","0.563686498236213","0.626627043036857","0.692634018511726","0.727770581280506","0.797513104651583","0.908988452147296","1.00399676053754","1.10522976876559","1.17722126129046","1.2477956658167","1.24506109134426","1.34438848674662","1.40017027740934","1.68483944482899","1.61397375750613","1.8807325430988","1.70742861026796","1.94167342412826","1.90548178356657","1.90315412947133","1.90008607240273","1.91205239752293","2.02396269949039","2.19734518555768","2.35033547185023","2.5068914287991","","",
"Early-demographic dividend","EAR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.591919561471571","0.605184950242663","0.622070820505075","0.6042942441688","0.613583287160414","0.6019568363527","0.628737477957602","0.643091120664367","0.680044717379862","0.613927614653657","0.720086895244819","0.71043568138334","0.699288713768759","0.617159112290693","","0.720801386240732","0.753508216995467","0.719793241117573","0.735393198598237","0.761717470136912","0.824017123276972","","","","",
"East Asia & Pacific","EAS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.18548627851545","2.26122976877156","2.22870704235192","2.29851087735438","2.23405806438998","2.28036886788401","2.24601927639643","2.32900178777982","2.31460943555706","2.39689101259065","2.39728238923694","2.34898087623511","2.35193576358469","2.2486720343445","2.39834602200759","2.3287940829434","2.48368511226115","2.27669418719275","2.4750273549477","2.32216793814283","2.33943838867397","2.31527933123785","2.35516240259177","2.39420218875931","2.57888323498085","2.628832073794","2.82114514493738","","",
"Europe & Central Asia (excluding high income)","ECA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.610571006759942","0.463794040809826","0.52541032390493","0.497376720304747","0.537086391862211","0.537353383176565","0.502384049328531","0.51254365520692","0.561477830097077","0.541370506906857","0.617195074388639","0.603386857167287","0.669787984944231","0.650148130826648","0.623549537981914","0.642800024619912","0.624183276273987","0.632280927495523","0.694319072125901","0.801488338553966","0.811015205842493","0.830287898810581","0.828587315918165","0.850288874155108","0.858389140124921","0.811160102859077","","",
"Europe & Central Asia","ECS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.65194971116825","1.63645276102668","1.60449872150275","1.69843180805892","1.68284374164374","1.71920274467563","1.69571999809866","1.72119028339865","1.69636212312203","1.65147134748517","1.65965887985771","1.66070457785227","1.72281689510144","1.81442423705286","1.77694450958099","1.78341705688807","1.82782981703352","1.80923233719159","1.92954239788838","2.00003704263923","1.98472489921346","2.03749520841125","2.07559390801627","2.13333607203848","2.19953135595161","2.18270851239081","1.97068323696008","","",
"Ecuador","ECU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0740600004792213","0.0626299977302551","0.0651699975132942","","","0.0544800013303757","0.0584000013768673","0.0600700005888939","","","0.131760001182556","0.135010004043579","0.230110004544258","0.410549998283386","0.411269992589951","0.341149985790253","0.333079993724823","0.374229997396469","0.438389986753464","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.212599992752075","0.197559997439384","0.199100002646446","0.186509996652603","0.192469999194145","","","","0.269939988851547","0.241410002112389","0.259030014276505","0.255100011825562","0.270240008831024","0.433120012283325","0.433450013399124","0.531539976596832","0.508989989757538","0.638949990272522","0.636489987373352","0.718580007553101","0.708480000495911","0.644860029220581","0.688390016555786","0.796169996261597","0.915639996528625","0.911750018596649","1.01968002319336","1.03356003761292","",
